inspection_id,corridor_id,km_milestone,damage_class,pothole_depth_cm,crack_length_m,debris_volume_cum,severity_tier,recommended_action,ai_confidence_pct,reported_by_agent,requires_pwd_validation,lat,lon
INS-DMG-1049,SEG-02,21.0,Debris / Rockfall Deposit,6.4,19.5,92.3,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,95.6,NERALIS-EdgeVision-v2.4,True,25.75,91.88
INS-DMG-1050,SEG-04,7.1,Washout / Roadbed Erosion,105.1,40.4,4.1,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,95.2,NERALIS-EdgeVision-v2.4,True,27.26,92.42
INS-DMG-1051,SEG-10,49.7,Washout / Roadbed Erosion,43.4,12.8,25.4,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,97.4,NERALIS-EdgeVision-v2.4,True,24.2,92.15
INS-DMG-1052,SEG-12,134.7,Intact / Minor Surface Wear,1.7,0.1,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,95.2,NERALIS-EdgeVision-v2.4,False,27.1,88.48
INS-DMG-1053,SEG-07,81.5,Debris / Rockfall Deposit,7.5,11.2,104.9,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,92.3,NERALIS-EdgeVision-v2.4,True,25.15,94.02
INS-DMG-1054,SEG-04,4.8,Pothole,15.8,0.6,0.4,TIER_2_MODERATE_HAZARD,SPEED_RESTRICTION_PWD_PATCHING,93.1,NERALIS-EdgeVision-v2.4,True,27.26,92.42
INS-DMG-1055,SEG-14,108.4,Pothole,11.4,1.6,0.3,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,95.8,NERALIS-EdgeVision-v2.4,False,26.6,93.4
INS-DMG-1056,SEG-16,38.5,Debris / Rockfall Deposit,2.1,19.1,45.3,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,95.9,NERALIS-EdgeVision-v2.4,True,25.18,92.85
INS-DMG-1057,SEG-04,54.3,Washout / Roadbed Erosion,109.0,35.2,38.4,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,96.8,NERALIS-EdgeVision-v2.4,True,27.26,92.42
INS-DMG-1058,SEG-04,123.4,Pothole,4.7,0.6,0.4,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,95.2,NERALIS-EdgeVision-v2.4,False,27.26,92.42
INS-DMG-1059,SEG-01,100.1,Washout / Roadbed Erosion,48.3,13.4,6.7,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,98.6,NERALIS-EdgeVision-v2.4,True,26.18,92.12
INS-DMG-1060,SEG-01,105.5,Pothole,6.6,1.2,0.2,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,92.6,NERALIS-EdgeVision-v2.4,False,26.18,92.12
INS-DMG-1061,SEG-04,136.5,Pothole,10.2,0.6,0.5,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,93.5,NERALIS-EdgeVision-v2.4,False,27.26,92.42
INS-DMG-1062,SEG-08,61.6,Intact / Minor Surface Wear,0.6,0.2,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,97.0,NERALIS-EdgeVision-v2.4,False,25.72,93.88
INS-DMG-1063,SEG-02,72.0,Longitudinal / Transverse Crack,7.9,7.0,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,86.3,NERALIS-EdgeVision-v2.4,True,25.75,91.88
INS-DMG-1064,SEG-14,118.4,Pothole,9.8,1.7,0.1,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,97.4,NERALIS-EdgeVision-v2.4,False,26.6,93.4
INS-DMG-1065,SEG-11,56.5,Longitudinal / Transverse Crack,4.7,17.1,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,86.9,NERALIS-EdgeVision-v2.4,True,23.45,92.74
INS-DMG-1066,SEG-01,103.0,Debris / Rockfall Deposit,7.1,27.7,53.3,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,96.4,NERALIS-EdgeVision-v2.4,True,26.18,92.12
INS-DMG-1067,SEG-06,67.0,Longitudinal / Transverse Crack,4.4,13.9,0.0,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,91.8,NERALIS-EdgeVision-v2.4,True,25.8,93.95
INS-DMG-1068,SEG-08,125.1,Pothole,4.4,0.8,0.5,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,96.0,NERALIS-EdgeVision-v2.4,False,25.72,93.88
INS-DMG-1069,SEG-04,19.1,Longitudinal / Transverse Crack,6.4,8.2,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,91.7,NERALIS-EdgeVision-v2.4,True,27.26,92.42
INS-DMG-1070,SEG-10,106.6,Debris / Rockfall Deposit,3.6,27.7,49.8,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,94.5,NERALIS-EdgeVision-v2.4,True,24.2,92.15
INS-DMG-1071,SEG-16,11.1,Longitudinal / Transverse Crack,6.9,11.3,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,94.7,NERALIS-EdgeVision-v2.4,True,25.18,92.85
INS-DMG-1072,SEG-02,36.2,Pothole,18.8,1.0,0.4,TIER_2_MODERATE_HAZARD,SPEED_RESTRICTION_PWD_PATCHING,88.3,NERALIS-EdgeVision-v2.4,True,25.75,91.88
INS-DMG-1073,SEG-08,18.6,Intact / Minor Surface Wear,1.2,0.3,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,92.3,NERALIS-EdgeVision-v2.4,False,25.72,93.88
INS-DMG-1074,SEG-08,47.9,Debris / Rockfall Deposit,6.1,37.3,83.1,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,93.8,NERALIS-EdgeVision-v2.4,True,25.72,93.88
INS-DMG-1075,SEG-05,59.8,Washout / Roadbed Erosion,27.0,48.8,16.9,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,92.0,NERALIS-EdgeVision-v2.4,True,27.51,92.1
INS-DMG-1076,SEG-13,52.5,Pothole,4.6,1.3,0.4,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,91.3,NERALIS-EdgeVision-v2.4,False,27.52,88.58
INS-DMG-1077,SEG-16,10.3,Debris / Rockfall Deposit,8.4,26.9,96.4,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,95.3,NERALIS-EdgeVision-v2.4,True,25.18,92.85
INS-DMG-1078,SEG-05,78.6,Debris / Rockfall Deposit,3.1,38.9,119.2,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,98.5,NERALIS-EdgeVision-v2.4,True,27.51,92.1
INS-DMG-1079,SEG-16,122.0,Pothole,4.7,0.8,0.1,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,96.9,NERALIS-EdgeVision-v2.4,False,25.18,92.85
INS-DMG-1080,SEG-01,37.8,Washout / Roadbed Erosion,92.3,39.7,23.2,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,97.3,NERALIS-EdgeVision-v2.4,True,26.18,92.12
INS-DMG-1081,SEG-16,15.2,Intact / Minor Surface Wear,0.5,0.4,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,90.7,NERALIS-EdgeVision-v2.4,False,25.18,92.85
INS-DMG-1082,SEG-04,54.1,Intact / Minor Surface Wear,0.3,0.5,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,94.4,NERALIS-EdgeVision-v2.4,False,27.26,92.42
INS-DMG-1083,SEG-13,68.8,Debris / Rockfall Deposit,9.3,14.9,156.7,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,98.3,NERALIS-EdgeVision-v2.4,True,27.52,88.58
INS-DMG-1084,SEG-14,47.0,Pothole,4.8,1.8,0.4,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,94.3,NERALIS-EdgeVision-v2.4,False,26.6,93.4
INS-DMG-1085,SEG-04,43.6,Longitudinal / Transverse Crack,5.5,14.3,0.0,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,92.1,NERALIS-EdgeVision-v2.4,True,27.26,92.42
INS-DMG-1086,SEG-01,44.4,Longitudinal / Transverse Crack,2.9,5.9,0.2,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,89.1,NERALIS-EdgeVision-v2.4,True,26.18,92.12
INS-DMG-1087,SEG-06,119.3,Intact / Minor Surface Wear,2.0,0.4,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,96.3,NERALIS-EdgeVision-v2.4,False,25.8,93.95
INS-DMG-1088,SEG-06,113.2,Pothole,5.3,1.5,0.3,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,90.2,NERALIS-EdgeVision-v2.4,False,25.8,93.95
INS-DMG-1089,SEG-13,135.1,Longitudinal / Transverse Crack,3.2,13.1,0.1,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,88.9,NERALIS-EdgeVision-v2.4,True,27.52,88.58
INS-DMG-1090,SEG-03,107.0,Debris / Rockfall Deposit,4.4,5.0,33.9,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,94.3,NERALIS-EdgeVision-v2.4,True,25.12,92.36
INS-DMG-1091,SEG-03,101.9,Longitudinal / Transverse Crack,1.8,8.4,0.2,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,91.9,NERALIS-EdgeVision-v2.4,True,25.12,92.36
INS-DMG-1092,SEG-07,47.1,Longitudinal / Transverse Crack,5.9,7.4,0.0,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,92.8,NERALIS-EdgeVision-v2.4,True,25.15,94.02
INS-DMG-1093,SEG-11,114.7,Intact / Minor Surface Wear,0.2,0.4,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,94.4,NERALIS-EdgeVision-v2.4,False,23.45,92.74
INS-DMG-1094,SEG-15,118.9,Debris / Rockfall Deposit,2.8,14.1,25.7,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,96.8,NERALIS-EdgeVision-v2.4,True,26.75,94.95
INS-DMG-1095,SEG-08,127.8,Pothole,21.4,0.8,0.0,TIER_2_MODERATE_HAZARD,SPEED_RESTRICTION_PWD_PATCHING,91.4,NERALIS-EdgeVision-v2.4,True,25.72,93.88
INS-DMG-1096,SEG-07,130.7,Pothole,14.6,1.0,0.0,TIER_2_MODERATE_HAZARD,SPEED_RESTRICTION_PWD_PATCHING,93.5,NERALIS-EdgeVision-v2.4,True,25.15,94.02
INS-DMG-1097,SEG-09,68.9,Debris / Rockfall Deposit,0.9,29.0,169.3,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,95.9,NERALIS-EdgeVision-v2.4,True,24.8,93.45
INS-DMG-1098,SEG-01,93.7,Washout / Roadbed Erosion,65.7,58.0,13.1,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,96.8,NERALIS-EdgeVision-v2.4,True,26.18,92.12
INS-DMG-1099,SEG-06,30.5,Pothole,9.1,1.2,0.2,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,91.6,NERALIS-EdgeVision-v2.4,False,25.8,93.95
INS-DMG-1100,SEG-11,129.7,Pothole,10.5,0.9,0.2,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,95.9,NERALIS-EdgeVision-v2.4,False,23.45,92.74
INS-DMG-1101,SEG-16,102.3,Pothole,5.1,1.1,0.4,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,92.5,NERALIS-EdgeVision-v2.4,False,25.18,92.85
INS-DMG-1102,SEG-08,83.7,Pothole,6.1,1.5,0.1,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,96.6,NERALIS-EdgeVision-v2.4,False,25.72,93.88
INS-DMG-1103,SEG-07,75.3,Intact / Minor Surface Wear,0.3,0.4,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,92.3,NERALIS-EdgeVision-v2.4,False,25.15,94.02
INS-DMG-1104,SEG-09,67.9,Longitudinal / Transverse Crack,3.6,3.9,0.2,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,86.0,NERALIS-EdgeVision-v2.4,True,24.8,93.45
INS-DMG-1105,SEG-05,123.9,Pothole,14.6,0.6,0.1,TIER_2_MODERATE_HAZARD,SPEED_RESTRICTION_PWD_PATCHING,95.8,NERALIS-EdgeVision-v2.4,True,27.51,92.1
INS-DMG-1106,SEG-13,126.2,Intact / Minor Surface Wear,0.4,0.1,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,97.6,NERALIS-EdgeVision-v2.4,False,27.52,88.58
INS-DMG-1107,SEG-03,63.9,Pothole,18.9,0.7,0.3,TIER_2_MODERATE_HAZARD,SPEED_RESTRICTION_PWD_PATCHING,96.0,NERALIS-EdgeVision-v2.4,True,25.12,92.36
INS-DMG-1108,SEG-13,96.4,Washout / Roadbed Erosion,69.0,8.6,20.0,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,98.5,NERALIS-EdgeVision-v2.4,True,27.52,88.58
INS-DMG-1109,SEG-13,132.2,Pothole,5.2,1.6,0.4,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,93.7,NERALIS-EdgeVision-v2.4,False,27.52,88.58
INS-DMG-1110,SEG-11,76.2,Pothole,11.3,1.7,0.3,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,91.7,NERALIS-EdgeVision-v2.4,False,23.45,92.74
INS-DMG-1111,SEG-14,18.5,Intact / Minor Surface Wear,1.9,0.4,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,97.6,NERALIS-EdgeVision-v2.4,False,26.6,93.4
INS-DMG-1112,SEG-10,69.4,Pothole,6.2,0.7,0.1,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,93.2,NERALIS-EdgeVision-v2.4,False,24.2,92.15
INS-DMG-1113,SEG-01,122.4,Pothole,5.8,1.0,0.2,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,90.9,NERALIS-EdgeVision-v2.4,False,26.18,92.12
INS-DMG-1114,SEG-03,105.4,Pothole,7.2,0.4,0.2,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,92.0,NERALIS-EdgeVision-v2.4,False,25.12,92.36
INS-DMG-1115,SEG-02,46.3,Longitudinal / Transverse Crack,7.5,3.1,0.0,TIER_2_MODERATE_HAZARD,SEAL_CRACK_WATERPROOFING,92.5,NERALIS-EdgeVision-v2.4,True,25.75,91.88
INS-DMG-1116,SEG-04,15.5,Washout / Roadbed Erosion,90.8,54.3,37.2,TIER_3_CRITICAL_EMERGENCY,MANDATORY_CLOSURE_BRO_EARTHMOVER,96.4,NERALIS-EdgeVision-v2.4,True,27.26,92.42
INS-DMG-1117,SEG-01,88.4,Intact / Minor Surface Wear,0.2,0.1,0.0,TIER_1_ROUTINE_MONITORING,CONTINUE_NORMAL_OPERATION,94.1,NERALIS-EdgeVision-v2.4,False,26.18,92.12
