stream_id,corridor_id,timestamp,incline_tilt_deg,pore_pressure_kpa,acoustic_emission_db,precipitation_rate_mmh,surface_displacement_mm,ambient_temp_c,warning_state
TEL-00020,SEG-11,2026-08-30T14:46:38.400214,2.353,69.2,38.7,28.1,3.6,15.7,WARNING_ELEVATED_PORE_PRESSURE
TEL-00021,SEG-11,2026-08-30T14:49:02.400214,0.54,28.0,72.5,15.8,12.32,17.1,CRITICAL_SLOPE_MOVEMENT
TEL-00022,SEG-05,2026-08-30T14:51:26.400214,2.395,64.9,57.8,0.7,5.8,21.8,WARNING_ELEVATED_PORE_PRESSURE
TEL-00023,SEG-05,2026-08-30T14:53:50.400214,4.183,57.6,68.4,3.3,8.74,21.1,CRITICAL_SLOPE_MOVEMENT
TEL-00024,SEG-06,2026-08-30T14:56:14.400214,1.845,74.4,56.2,17.0,11.95,17.8,CRITICAL_SLOPE_MOVEMENT
TEL-00025,SEG-14,2026-08-30T14:58:38.400214,2.132,53.4,66.5,34.3,7.92,28.3,WARNING_ELEVATED_PORE_PRESSURE
TEL-00026,SEG-12,2026-08-30T15:01:02.400214,2.431,75.7,59.4,28.0,4.83,24.2,CRITICAL_SLOPE_MOVEMENT
TEL-00027,SEG-06,2026-08-30T15:03:26.400214,1.215,59.7,25.2,18.6,11.36,15.3,WARNING_ELEVATED_PORE_PRESSURE
TEL-00028,SEG-01,2026-08-30T15:05:50.400214,2.198,30.9,42.6,20.4,13.65,21.6,CRITICAL_SLOPE_MOVEMENT
TEL-00029,SEG-05,2026-08-30T15:08:14.400214,0.678,59.6,45.8,16.9,13.8,21.9,CRITICAL_SLOPE_MOVEMENT
TEL-00030,SEG-02,2026-08-30T15:10:38.400214,2.452,35.1,26.9,43.2,1.77,14.3,STABLE_NOMINAL
TEL-00031,SEG-04,2026-08-30T15:13:02.400214,0.849,46.6,33.4,21.8,2.06,28.7,STABLE_NOMINAL
TEL-00032,SEG-07,2026-08-30T15:15:26.400214,2.337,18.8,42.3,21.1,3.87,15.8,STABLE_NOMINAL
TEL-00033,SEG-11,2026-08-30T15:17:50.400214,0.144,38.3,55.4,19.8,12.0,21.8,WARNING_ELEVATED_PORE_PRESSURE
TEL-00034,SEG-03,2026-08-30T15:20:14.400214,1.088,43.6,59.3,20.4,12.42,14.1,CRITICAL_SLOPE_MOVEMENT
TEL-00035,SEG-09,2026-08-30T15:22:38.400214,1.939,55.0,46.3,25.3,10.08,17.8,WARNING_ELEVATED_PORE_PRESSURE
TEL-00036,SEG-16,2026-08-30T15:25:02.400214,1.455,57.9,54.8,0.1,1.06,26.7,WARNING_ELEVATED_PORE_PRESSURE
TEL-00037,SEG-01,2026-08-30T15:27:26.400214,1.615,28.7,74.6,23.2,7.14,17.0,WARNING_ELEVATED_PORE_PRESSURE
TEL-00038,SEG-10,2026-08-30T15:29:50.400214,1.788,55.6,63.7,16.3,1.44,16.5,WARNING_ELEVATED_PORE_PRESSURE
TEL-00039,SEG-01,2026-08-30T15:32:14.400214,2.225,16.2,37.7,20.7,7.67,21.8,WARNING_ELEVATED_PORE_PRESSURE
TEL-00040,SEG-16,2026-08-30T15:34:38.400214,2.141,41.5,27.8,28.3,0.7,24.6,STABLE_NOMINAL
TEL-00041,SEG-16,2026-08-30T15:37:02.400214,2.463,24.7,43.6,23.3,5.17,14.3,WARNING_ELEVATED_PORE_PRESSURE
TEL-00042,SEG-07,2026-08-30T15:39:26.400214,0.785,64.5,57.8,4.5,6.49,16.7,WARNING_ELEVATED_PORE_PRESSURE
TEL-00043,SEG-12,2026-08-30T15:41:50.400214,1.117,36.2,39.8,18.6,3.88,15.5,STABLE_NOMINAL
TEL-00044,SEG-04,2026-08-30T15:44:14.400214,0.969,15.9,39.4,27.9,11.74,25.4,WARNING_ELEVATED_PORE_PRESSURE
TEL-00045,SEG-10,2026-08-30T15:46:38.400214,3.118,33.6,40.9,14.3,0.15,19.8,CRITICAL_SLOPE_MOVEMENT
TEL-00046,SEG-04,2026-08-30T15:49:02.400214,2.864,50.8,53.2,4.1,10.43,24.8,WARNING_ELEVATED_PORE_PRESSURE
TEL-00047,SEG-04,2026-08-30T15:51:26.400214,2.105,30.6,71.0,17.2,15.15,17.3,CRITICAL_SLOPE_MOVEMENT
TEL-00048,SEG-03,2026-08-30T15:53:50.400214,2.006,65.3,48.6,28.7,13.0,29.0,CRITICAL_SLOPE_MOVEMENT
TEL-00049,SEG-02,2026-08-30T15:56:14.400214,0.559,73.5,29.1,33.4,5.5,27.3,CRITICAL_SLOPE_MOVEMENT
TEL-00050,SEG-05,2026-08-30T15:58:38.400214,2.525,18.5,64.4,22.3,14.33,26.1,CRITICAL_SLOPE_MOVEMENT
TEL-00051,SEG-15,2026-08-30T16:01:02.400214,0.943,48.4,46.3,27.5,1.82,17.6,STABLE_NOMINAL
TEL-00052,SEG-06,2026-08-30T16:03:26.400214,2.98,19.5,65.6,42.4,18.13,14.6,CRITICAL_SLOPE_MOVEMENT
TEL-00053,SEG-09,2026-08-30T16:05:50.400214,1.997,78.3,41.2,37.9,10.91,16.7,CRITICAL_SLOPE_MOVEMENT
TEL-00054,SEG-16,2026-08-30T16:08:14.400214,3.39,66.6,33.0,34.9,8.02,25.1,CRITICAL_SLOPE_MOVEMENT
TEL-00055,SEG-13,2026-08-30T16:10:38.400214,0.235,71.5,72.5,24.1,11.84,24.5,CRITICAL_SLOPE_MOVEMENT
TEL-00056,SEG-12,2026-08-30T16:13:02.400214,3.983,83.2,39.2,27.9,10.66,18.7,CRITICAL_SLOPE_MOVEMENT
TEL-00057,SEG-03,2026-08-30T16:15:26.400214,2.603,67.0,40.8,21.6,18.09,19.6,CRITICAL_SLOPE_MOVEMENT
TEL-00058,SEG-10,2026-08-30T16:17:50.400214,2.209,26.7,29.6,32.0,6.25,21.9,WARNING_ELEVATED_PORE_PRESSURE
TEL-00059,SEG-12,2026-08-30T16:20:14.400214,3.465,35.1,28.8,22.1,18.07,14.5,CRITICAL_SLOPE_MOVEMENT
TEL-00060,SEG-12,2026-08-30T16:22:38.400214,4.038,69.3,39.9,12.1,4.4,15.8,CRITICAL_SLOPE_MOVEMENT
TEL-00061,SEG-02,2026-08-30T16:25:02.400214,0.311,25.5,56.8,27.2,9.62,29.0,WARNING_ELEVATED_PORE_PRESSURE
TEL-00062,SEG-10,2026-08-30T16:27:26.400214,1.365,43.8,29.9,34.9,15.64,14.9,CRITICAL_SLOPE_MOVEMENT
TEL-00063,SEG-16,2026-08-30T16:29:50.400214,2.899,68.7,46.5,34.7,2.34,27.4,WARNING_ELEVATED_PORE_PRESSURE
TEL-00064,SEG-14,2026-08-30T16:32:14.400214,0.466,16.6,50.9,8.6,2.94,22.3,STABLE_NOMINAL
TEL-00065,SEG-09,2026-08-30T16:34:38.400214,3.202,31.3,62.8,44.2,3.49,28.6,CRITICAL_SLOPE_MOVEMENT
TEL-00066,SEG-16,2026-08-30T16:37:02.400214,2.601,25.2,65.1,43.9,7.16,14.0,WARNING_ELEVATED_PORE_PRESSURE
TEL-00067,SEG-14,2026-08-30T16:39:26.400214,3.275,21.8,27.0,22.4,7.62,17.6,CRITICAL_SLOPE_MOVEMENT
TEL-00068,SEG-08,2026-08-30T16:41:50.400214,1.812,72.6,74.4,38.6,1.84,22.0,CRITICAL_SLOPE_MOVEMENT
TEL-00069,SEG-12,2026-08-30T16:44:14.400214,1.975,46.8,74.5,44.6,12.9,27.9,CRITICAL_SLOPE_MOVEMENT
TEL-00070,SEG-03,2026-08-30T16:46:38.400214,1.847,66.9,32.4,28.5,11.94,18.1,WARNING_ELEVATED_PORE_PRESSURE
TEL-00071,SEG-12,2026-08-30T16:49:02.400214,2.857,51.4,68.4,38.4,11.36,14.8,WARNING_ELEVATED_PORE_PRESSURE
TEL-00072,SEG-06,2026-08-30T16:51:26.400214,1.718,31.5,37.8,8.7,3.54,27.5,STABLE_NOMINAL
TEL-00073,SEG-14,2026-08-30T16:53:50.400214,1.638,19.1,47.0,17.7,2.35,20.9,STABLE_NOMINAL
TEL-00074,SEG-11,2026-08-30T16:56:14.400214,0.154,38.5,29.5,3.5,8.22,17.9,WARNING_ELEVATED_PORE_PRESSURE
TEL-00075,SEG-06,2026-08-30T16:58:38.400214,1.903,57.3,57.5,15.4,3.59,23.4,WARNING_ELEVATED_PORE_PRESSURE
TEL-00076,SEG-16,2026-08-30T17:01:02.400214,4.106,42.8,65.2,40.6,0.66,21.1,CRITICAL_SLOPE_MOVEMENT
TEL-00077,SEG-02,2026-08-30T17:03:26.400214,1.113,48.1,70.1,1.1,12.98,16.9,CRITICAL_SLOPE_MOVEMENT
TEL-00078,SEG-05,2026-08-30T17:05:50.400214,3.552,61.6,41.5,25.1,13.92,18.2,CRITICAL_SLOPE_MOVEMENT
TEL-00079,SEG-11,2026-08-30T17:08:14.400214,0.939,74.9,69.5,8.6,4.35,15.4,CRITICAL_SLOPE_MOVEMENT
TEL-00080,SEG-13,2026-08-30T17:10:38.400214,0.165,39.8,31.6,32.4,17.56,28.5,CRITICAL_SLOPE_MOVEMENT
TEL-00081,SEG-12,2026-08-30T17:13:02.400214,0.455,18.3,56.0,21.7,17.47,24.7,CRITICAL_SLOPE_MOVEMENT
TEL-00082,SEG-06,2026-08-30T17:15:26.400214,3.513,79.1,33.6,22.9,7.52,23.8,CRITICAL_SLOPE_MOVEMENT
TEL-00083,SEG-14,2026-08-30T17:17:50.400214,1.306,46.8,29.4,6.0,16.08,22.2,CRITICAL_SLOPE_MOVEMENT
TEL-00084,SEG-06,2026-08-30T17:20:14.400214,2.22,33.6,62.9,20.3,15.08,19.5,CRITICAL_SLOPE_MOVEMENT
TEL-00085,SEG-04,2026-08-30T17:22:38.400214,1.622,41.1,68.7,7.9,14.12,23.2,CRITICAL_SLOPE_MOVEMENT
TEL-00086,SEG-05,2026-08-30T17:25:02.400214,1.908,60.3,45.0,20.2,2.51,27.8,WARNING_ELEVATED_PORE_PRESSURE
TEL-00087,SEG-14,2026-08-30T17:27:26.400214,3.584,65.3,51.7,37.0,1.58,18.6,CRITICAL_SLOPE_MOVEMENT
TEL-00088,SEG-01,2026-08-30T17:29:50.400214,3.499,27.6,32.3,5.5,14.54,28.7,CRITICAL_SLOPE_MOVEMENT
TEL-00089,SEG-06,2026-08-30T17:32:14.400214,3.722,19.9,27.2,23.2,10.1,16.8,CRITICAL_SLOPE_MOVEMENT
TEL-00090,SEG-02,2026-08-30T17:34:38.400214,1.049,34.2,37.6,12.5,12.38,18.2,CRITICAL_SLOPE_MOVEMENT
TEL-00091,SEG-01,2026-08-30T17:37:02.400214,3.085,63.6,74.7,30.6,13.35,21.1,CRITICAL_SLOPE_MOVEMENT
TEL-00092,SEG-08,2026-08-30T17:39:26.400214,2.919,72.8,36.7,36.1,10.92,20.6,CRITICAL_SLOPE_MOVEMENT
TEL-00093,SEG-11,2026-08-30T17:41:50.400214,0.963,60.7,43.2,35.1,9.16,16.9,WARNING_ELEVATED_PORE_PRESSURE
TEL-00094,SEG-14,2026-08-30T17:44:14.400214,1.047,18.2,42.6,14.2,11.46,26.3,WARNING_ELEVATED_PORE_PRESSURE
TEL-00095,SEG-16,2026-08-30T17:46:38.400214,3.968,43.7,41.9,31.2,10.64,20.6,CRITICAL_SLOPE_MOVEMENT
TEL-00096,SEG-06,2026-08-30T17:49:02.400214,3.638,35.5,76.1,1.5,10.9,25.7,CRITICAL_SLOPE_MOVEMENT
TEL-00097,SEG-14,2026-08-30T17:51:26.400214,3.713,17.4,25.1,22.4,7.0,15.9,CRITICAL_SLOPE_MOVEMENT
TEL-00098,SEG-13,2026-08-30T17:53:50.400214,0.64,73.3,69.1,4.4,2.22,15.6,CRITICAL_SLOPE_MOVEMENT
TEL-00099,SEG-03,2026-08-30T17:56:14.400214,1.438,19.8,52.8,8.9,14.04,17.3,CRITICAL_SLOPE_MOVEMENT
TEL-00100,SEG-06,2026-08-30T17:58:38.400214,3.678,61.0,70.4,14.8,1.03,21.9,CRITICAL_SLOPE_MOVEMENT
TEL-00101,SEG-08,2026-08-30T18:01:02.400214,3.89,70.1,58.7,21.7,8.11,15.6,CRITICAL_SLOPE_MOVEMENT
TEL-00102,SEG-06,2026-08-30T18:03:26.400214,0.27,65.3,67.3,24.5,17.46,28.0,CRITICAL_SLOPE_MOVEMENT
TEL-00103,SEG-12,2026-08-30T18:05:50.400214,3.872,43.3,71.4,27.1,7.12,26.7,CRITICAL_SLOPE_MOVEMENT
TEL-00104,SEG-14,2026-08-30T18:08:14.400214,0.693,59.9,40.4,16.5,13.68,14.5,CRITICAL_SLOPE_MOVEMENT
TEL-00105,SEG-08,2026-08-30T18:10:38.400214,1.016,47.7,40.4,33.6,3.68,16.1,STABLE_NOMINAL
TEL-00106,SEG-16,2026-08-30T18:13:02.400214,3.985,15.6,35.8,32.5,9.75,22.3,CRITICAL_SLOPE_MOVEMENT
TEL-00107,SEG-05,2026-08-30T18:15:26.400214,1.862,54.5,32.5,8.8,2.93,17.7,WARNING_ELEVATED_PORE_PRESSURE
TEL-00108,SEG-14,2026-08-30T18:17:50.400214,1.936,50.3,77.1,9.0,13.63,23.6,CRITICAL_SLOPE_MOVEMENT
TEL-00109,SEG-01,2026-08-30T18:20:14.400214,3.44,57.4,46.5,12.8,9.91,26.7,CRITICAL_SLOPE_MOVEMENT
TEL-00110,SEG-01,2026-08-30T18:22:38.400214,2.323,79.4,38.6,34.5,14.48,25.5,CRITICAL_SLOPE_MOVEMENT
TEL-00111,SEG-07,2026-08-30T18:25:02.400214,3.152,81.4,41.4,18.0,7.75,16.9,CRITICAL_SLOPE_MOVEMENT
TEL-00112,SEG-16,2026-08-30T18:27:26.400214,4.017,32.0,51.0,34.7,14.52,16.2,CRITICAL_SLOPE_MOVEMENT
TEL-00113,SEG-09,2026-08-30T18:29:50.400214,0.849,60.8,31.3,6.4,1.11,15.5,WARNING_ELEVATED_PORE_PRESSURE
TEL-00114,SEG-03,2026-08-30T18:32:14.400214,1.986,77.2,53.5,10.5,7.39,26.5,CRITICAL_SLOPE_MOVEMENT
TEL-00115,SEG-09,2026-08-30T18:34:38.400214,3.582,82.8,27.3,20.2,18.37,17.2,CRITICAL_SLOPE_MOVEMENT
TEL-00116,SEG-11,2026-08-30T18:37:02.400214,2.611,79.1,29.5,13.9,1.95,28.9,CRITICAL_SLOPE_MOVEMENT
TEL-00117,SEG-16,2026-08-30T18:39:26.400214,2.219,54.9,40.0,28.5,6.95,20.0,WARNING_ELEVATED_PORE_PRESSURE
TEL-00118,SEG-14,2026-08-30T18:41:50.400214,3.798,83.2,44.0,2.2,17.56,23.7,CRITICAL_SLOPE_MOVEMENT
TEL-00119,SEG-12,2026-08-30T18:44:14.400214,1.985,29.3,53.4,44.3,6.79,23.4,WARNING_ELEVATED_PORE_PRESSURE
TEL-00120,SEG-15,2026-08-30T18:46:38.400214,1.188,84.3,54.5,13.5,15.93,22.8,CRITICAL_SLOPE_MOVEMENT
TEL-00121,SEG-10,2026-08-30T18:49:02.400214,3.355,76.6,31.5,32.7,1.89,21.6,CRITICAL_SLOPE_MOVEMENT
TEL-00122,SEG-04,2026-08-30T18:51:26.400214,1.636,56.0,68.5,12.4,10.9,14.8,WARNING_ELEVATED_PORE_PRESSURE
TEL-00123,SEG-13,2026-08-30T18:53:50.400214,3.76,75.9,34.7,32.2,8.08,18.9,CRITICAL_SLOPE_MOVEMENT
TEL-00124,SEG-07,2026-08-30T18:56:14.400214,2.157,47.5,50.7,26.4,7.74,25.0,WARNING_ELEVATED_PORE_PRESSURE
TEL-00125,SEG-13,2026-08-30T18:58:38.400214,0.734,74.1,75.8,38.7,8.98,26.8,CRITICAL_SLOPE_MOVEMENT
TEL-00126,SEG-14,2026-08-30T19:01:02.400214,0.835,39.1,71.9,1.2,15.28,19.0,CRITICAL_SLOPE_MOVEMENT
TEL-00127,SEG-12,2026-08-30T19:03:26.400214,0.347,54.7,32.2,34.6,11.27,17.5,WARNING_ELEVATED_PORE_PRESSURE
TEL-00128,SEG-06,2026-08-30T19:05:50.400214,3.147,33.1,41.7,6.1,9.82,23.4,CRITICAL_SLOPE_MOVEMENT
TEL-00129,SEG-13,2026-08-30T19:08:14.400214,0.578,36.6,34.7,35.0,17.06,29.0,CRITICAL_SLOPE_MOVEMENT
TEL-00130,SEG-13,2026-08-30T19:10:38.400214,3.123,37.8,52.8,41.3,16.72,26.1,CRITICAL_SLOPE_MOVEMENT
TEL-00131,SEG-05,2026-08-30T19:13:02.400214,0.129,49.6,38.8,41.8,7.24,24.7,WARNING_ELEVATED_PORE_PRESSURE
TEL-00132,SEG-15,2026-08-30T19:15:26.400214,3.817,24.3,69.8,8.4,8.44,16.8,CRITICAL_SLOPE_MOVEMENT
TEL-00133,SEG-05,2026-08-30T19:17:50.400214,2.413,33.7,43.8,2.5,5.16,27.0,WARNING_ELEVATED_PORE_PRESSURE
TEL-00134,SEG-07,2026-08-30T19:20:14.400214,2.543,46.2,31.7,6.4,1.29,16.3,STABLE_NOMINAL
TEL-00135,SEG-09,2026-08-30T19:22:38.400214,2.845,26.1,56.1,32.5,4.01,14.5,STABLE_NOMINAL
TEL-00136,SEG-04,2026-08-30T19:25:02.400214,3.51,48.6,67.2,44.3,11.63,26.0,CRITICAL_SLOPE_MOVEMENT
TEL-00137,SEG-14,2026-08-30T19:27:26.400214,2.872,70.2,45.3,1.5,12.25,19.4,CRITICAL_SLOPE_MOVEMENT
TEL-00138,SEG-03,2026-08-30T19:29:50.400214,1.172,74.9,50.9,19.1,13.85,23.1,CRITICAL_SLOPE_MOVEMENT
TEL-00139,SEG-16,2026-08-30T19:32:14.400214,2.683,72.5,47.1,26.9,12.29,27.0,CRITICAL_SLOPE_MOVEMENT
TEL-00140,SEG-03,2026-08-30T19:34:38.400214,2.947,79.9,62.6,4.0,2.18,24.5,CRITICAL_SLOPE_MOVEMENT
TEL-00141,SEG-12,2026-08-30T19:37:02.400214,0.59,74.8,60.6,36.9,6.54,22.7,CRITICAL_SLOPE_MOVEMENT
TEL-00142,SEG-03,2026-08-30T19:39:26.400214,0.972,80.1,34.5,29.1,8.93,16.9,CRITICAL_SLOPE_MOVEMENT
TEL-00143,SEG-13,2026-08-30T19:41:50.400214,4.008,59.9,75.9,21.8,2.56,27.8,CRITICAL_SLOPE_MOVEMENT
TEL-00144,SEG-04,2026-08-30T19:44:14.400214,0.945,74.7,56.2,10.8,6.82,17.8,CRITICAL_SLOPE_MOVEMENT
TEL-00145,SEG-04,2026-08-30T19:46:38.400214,3.522,55.0,77.4,40.0,2.59,23.2,CRITICAL_SLOPE_MOVEMENT
TEL-00146,SEG-11,2026-08-30T19:49:02.400214,0.553,18.9,59.2,29.7,10.11,23.7,WARNING_ELEVATED_PORE_PRESSURE
TEL-00147,SEG-10,2026-08-30T19:51:26.400214,0.388,25.3,34.6,40.7,7.57,27.0,WARNING_ELEVATED_PORE_PRESSURE
TEL-00148,SEG-08,2026-08-30T19:53:50.400214,1.432,15.3,69.0,31.8,18.43,20.9,CRITICAL_SLOPE_MOVEMENT
TEL-00149,SEG-07,2026-08-30T19:56:14.400214,2.265,84.0,66.5,4.7,12.96,27.5,CRITICAL_SLOPE_MOVEMENT
TEL-00150,SEG-05,2026-08-30T19:58:38.400214,1.396,16.4,32.2,5.2,15.39,24.9,CRITICAL_SLOPE_MOVEMENT
TEL-00151,SEG-06,2026-08-30T20:01:02.400214,3.63,40.2,58.5,0.3,5.08,22.8,CRITICAL_SLOPE_MOVEMENT
TEL-00152,SEG-04,2026-08-30T20:03:26.400214,3.098,77.8,41.1,36.4,16.37,17.1,CRITICAL_SLOPE_MOVEMENT
TEL-00153,SEG-04,2026-08-30T20:05:50.400214,3.663,58.7,39.1,16.0,13.64,16.2,CRITICAL_SLOPE_MOVEMENT
TEL-00154,SEG-15,2026-08-30T20:08:14.400214,3.052,25.2,71.3,1.4,17.96,24.2,CRITICAL_SLOPE_MOVEMENT
TEL-00155,SEG-09,2026-08-30T20:10:38.400214,0.209,73.1,48.3,34.8,15.32,16.1,CRITICAL_SLOPE_MOVEMENT
TEL-00156,SEG-12,2026-08-30T20:13:02.400214,2.391,66.9,28.1,38.9,17.19,24.5,CRITICAL_SLOPE_MOVEMENT
TEL-00157,SEG-13,2026-08-30T20:15:26.400214,3.81,83.4,57.8,18.1,11.51,22.1,CRITICAL_SLOPE_MOVEMENT
TEL-00158,SEG-05,2026-08-30T20:17:50.400214,3.502,17.7,32.0,22.0,18.08,24.3,CRITICAL_SLOPE_MOVEMENT
TEL-00159,SEG-11,2026-08-30T20:20:14.400214,2.013,42.1,74.0,19.9,1.08,23.4,STABLE_NOMINAL
TEL-00160,SEG-03,2026-08-30T20:22:38.400214,2.738,67.9,35.7,8.2,13.09,25.1,CRITICAL_SLOPE_MOVEMENT
TEL-00161,SEG-01,2026-08-30T20:25:02.400214,0.504,28.1,53.1,18.3,6.16,26.1,WARNING_ELEVATED_PORE_PRESSURE
TEL-00162,SEG-05,2026-08-30T20:27:26.400214,0.44,61.8,58.0,6.9,13.29,27.4,CRITICAL_SLOPE_MOVEMENT
TEL-00163,SEG-03,2026-08-30T20:29:50.400214,3.09,21.3,28.9,22.3,11.01,27.9,CRITICAL_SLOPE_MOVEMENT
TEL-00164,SEG-03,2026-08-30T20:32:14.400214,2.275,32.6,65.6,28.3,16.53,28.2,CRITICAL_SLOPE_MOVEMENT
TEL-00165,SEG-02,2026-08-30T20:34:38.400214,1.734,83.3,62.5,10.5,18.01,28.3,CRITICAL_SLOPE_MOVEMENT
TEL-00166,SEG-04,2026-08-30T20:37:02.400214,1.888,69.7,29.2,40.0,1.62,25.3,WARNING_ELEVATED_PORE_PRESSURE
TEL-00167,SEG-15,2026-08-30T20:39:26.400214,2.67,44.0,50.2,8.7,4.95,18.4,STABLE_NOMINAL
TEL-00168,SEG-16,2026-08-30T20:41:50.400214,0.907,28.7,69.9,27.9,10.99,25.1,WARNING_ELEVATED_PORE_PRESSURE
TEL-00169,SEG-10,2026-08-30T20:44:14.400214,4.072,57.9,64.6,31.7,14.24,16.5,CRITICAL_SLOPE_MOVEMENT
TEL-00170,SEG-07,2026-08-30T20:46:38.400214,0.957,70.4,69.4,17.0,9.06,22.0,CRITICAL_SLOPE_MOVEMENT
TEL-00171,SEG-06,2026-08-30T20:49:02.400214,2.107,35.2,50.6,1.5,9.78,15.4,WARNING_ELEVATED_PORE_PRESSURE
TEL-00172,SEG-04,2026-08-30T20:51:26.400214,1.985,67.7,66.5,37.6,11.62,14.1,WARNING_ELEVATED_PORE_PRESSURE
TEL-00173,SEG-12,2026-08-30T20:53:50.400214,1.939,15.7,42.9,23.2,3.84,20.4,STABLE_NOMINAL
TEL-00174,SEG-13,2026-08-30T20:56:14.400214,3.99,31.8,56.6,10.1,15.63,25.6,CRITICAL_SLOPE_MOVEMENT
TEL-00175,SEG-01,2026-08-30T20:58:38.400214,2.012,76.7,50.7,8.3,5.88,14.1,CRITICAL_SLOPE_MOVEMENT
TEL-00176,SEG-01,2026-08-30T21:01:02.400214,1.98,22.5,66.4,28.8,6.9,18.2,WARNING_ELEVATED_PORE_PRESSURE
TEL-00177,SEG-05,2026-08-30T21:03:26.400214,2.896,73.0,44.0,35.9,6.67,19.0,CRITICAL_SLOPE_MOVEMENT
TEL-00178,SEG-08,2026-08-30T21:05:50.400214,1.882,73.1,74.9,12.9,5.83,15.7,CRITICAL_SLOPE_MOVEMENT
TEL-00179,SEG-01,2026-08-30T21:08:14.400214,3.636,24.9,40.8,32.7,5.01,16.5,CRITICAL_SLOPE_MOVEMENT
TEL-00180,SEG-01,2026-08-30T21:10:38.400214,1.118,74.2,29.6,3.9,9.13,16.0,CRITICAL_SLOPE_MOVEMENT
TEL-00181,SEG-05,2026-08-30T21:13:02.400214,2.361,28.1,34.9,44.1,1.28,27.0,STABLE_NOMINAL
TEL-00182,SEG-10,2026-08-30T21:15:26.400214,4.072,27.5,35.0,39.9,17.21,22.5,CRITICAL_SLOPE_MOVEMENT
TEL-00183,SEG-15,2026-08-30T21:17:50.400214,3.622,62.8,68.0,8.4,8.09,14.8,CRITICAL_SLOPE_MOVEMENT
TEL-00184,SEG-16,2026-08-30T21:20:14.400214,1.721,45.6,75.9,6.7,2.14,16.4,STABLE_NOMINAL
TEL-00185,SEG-02,2026-08-30T21:22:38.400214,3.049,46.4,53.3,33.0,8.75,26.9,CRITICAL_SLOPE_MOVEMENT
TEL-00186,SEG-14,2026-08-30T21:25:02.400214,0.59,53.3,51.6,4.6,0.53,17.4,WARNING_ELEVATED_PORE_PRESSURE
TEL-00187,SEG-01,2026-08-30T21:27:26.400214,0.532,63.5,38.2,29.9,3.67,23.9,WARNING_ELEVATED_PORE_PRESSURE
