event_id,corridor_id,corridor_name,state,latitude,longitude,elevation_m,slope_gradient_deg,terrain_ruggedness_index,rock_type,drainage_condition,daily_traffic_pcu,event_year,event_month,event_day,rainfall_24h_mm,rainfall_72h_mm,seasonal_rainfall_mm,annual_rainfall_mm,soil_moisture_pct,pore_water_pressure_kpa,vegetation_cover_pct,disruption_severity,disruption_binary,clearance_duration_hours,economic_loss_lakhs
EVT-NER-2025-10010,SEG-05,NH-13 Bomdila-Sela Pass-Tawang,Arunachal Pradesh,27.4821,91.9783,3864.7,51.0,0.966,Limestone Karst,POOR_GULLY,1489,2025,9,26,194.1,400.8,1650.0,2200,99.8,142.8,68.7,HIGH,1,99.7,411.5
EVT-NER-2021-10011,SEG-07,NH-2 Kohima-Imphal Lifeline Corridor,Manipur,25.055,94.0088,1368.6,31.1,0.889,Limestone Karst,POOR_GULLY,5933,2021,7,14,192.6,407.8,1350.0,1800,99.8,142.3,80.6,HIGH,1,104.6,434.1
EVT-NER-2025-10012,SEG-16,Haflong-Silchar Hill Track (Dima Hasao),Assam,25.0794,92.7006,957.6,54.0,0.976,Limestone Karst,WELL_DRAINED_BERM,2956,2025,9,2,84.2,238.8,2100.0,2800,82.7,91.5,42.8,HIGH,1,116.8,509.4
EVT-NER-2023-10013,SEG-02,NH-6 Guwahati-Shillong Expressway,Meghalaya,25.7509,91.9858,889.4,41.5,0.753,Limestone Karst,MODERATE_NATURAL,10995,2023,10,16,65.3,177.2,2175.0,2900,70.7,75.9,81.5,HIGH,1,76.1,354.7
EVT-NER-2019-10014,SEG-02,NH-6 Guwahati-Shillong Expressway,Meghalaya,25.7568,92.0104,901.1,38.0,0.778,Sedimentary Sandstone,WELL_DRAINED_BERM,10553,2019,10,19,105.2,295.2,2175.0,2900,87.6,102.5,70.1,HIGH,1,25.4,153.6
EVT-NER-2019-10015,SEG-04,NH-13 Bhalukpong-Bomdila Trans-Arunachal,Arunachal Pradesh,27.1497,92.3747,1767.2,41.4,0.876,Sedimentary Sandstone,POOR_GULLY,3191,2019,10,9,113.3,300.5,1800.0,2400,89.2,106.6,58.3,HIGH,1,113.0,461.7
EVT-NER-2022-10016,SEG-05,NH-13 Bomdila-Sela Pass-Tawang,Arunachal Pradesh,27.526,92.0317,3851.2,56.0,0.933,Alluvial Silt,CRITICAL_BLOCKED_CULVERT,2173,2022,6,24,150.5,348.7,1650.0,2200,99.6,127.4,75.8,HIGH,1,27.4,158.8
EVT-NER-2018-10017,SEG-09,NH-37 Imphal-Jiribam Rainforest Stretch,Manipur,24.9439,93.3485,790.5,45.9,0.9,Limestone Karst,MODERATE_NATURAL,3345,2018,7,21,51.3,160.8,1725.0,2300,69.2,69.9,75.1,HIGH,1,77.4,329.5
EVT-NER-2018-10018,SEG-05,NH-13 Bomdila-Sela Pass-Tawang,Arunachal Pradesh,27.423,92.0249,3725.7,56.9,1.0,Gneiss & Schist,MODERATE_NATURAL,2140,2018,6,12,107.2,294.2,1650.0,2200,91.6,106.2,83.6,HIGH,1,100.7,469.4
EVT-NER-2020-10019,SEG-01,NH-27 Guwahati-Nagaon Corridor,Assam,26.3092,92.2107,191.0,17.4,0.413,Shale & Siltstone,WELL_DRAINED_BERM,13051,2020,3,26,19.7,21.4,1575.0,2100,22.3,6.7,74.0,LOW,0,0.0,0.0
EVT-NER-2023-10020,SEG-15,Mon-Sonari Foothill Bypass,Nagaland,26.6071,94.8579,522.1,41.1,0.855,Alluvial Silt,CRITICAL_BLOCKED_CULVERT,2323,2023,7,8,83.0,229.9,1650.0,2200,78.5,87.9,31.9,HIGH,1,117.0,482.1
EVT-NER-2018-10021,SEG-09,NH-37 Imphal-Jiribam Rainforest Stretch,Manipur,24.8686,93.3941,831.6,43.2,0.872,Limestone Karst,WELL_DRAINED_BERM,2562,2018,9,12,139.6,321.9,1725.0,2300,92.8,118.5,80.5,HIGH,1,72.9,352.4
EVT-NER-2023-10022,SEG-07,NH-2 Kohima-Imphal Lifeline Corridor,Manipur,25.0942,94.1244,1329.9,34.2,0.809,Sedimentary Sandstone,MODERATE_NATURAL,4254,2023,8,20,107.6,267.2,1350.0,1800,82.6,99.6,64.9,HIGH,1,56.7,292.8
EVT-NER-2022-10023,SEG-06,NH-29 Dimapur-Kohima Hill Section,Nagaland,25.7361,93.929,1145.0,41.2,0.854,Alluvial Silt,MODERATE_NATURAL,5921,2022,6,10,114.0,257.2,1462.5,1950,82.6,101.8,42.0,HIGH,1,85.7,394.0
EVT-NER-2021-10024,SEG-03,NH-6 Sonapur Tunnel & Jaintia Hills,Meghalaya,25.0297,92.2173,781.2,48.7,0.996,Limestone Karst,MODERATE_NATURAL,7638,2021,7,26,43.8,109.4,2850.0,3800,62.1,61.9,48.0,MEDIUM,1,12.0,32.4
EVT-NER-2019-10025,SEG-01,NH-27 Guwahati-Nagaon Corridor,Assam,26.2712,92.1788,91.1,13.8,0.517,Alluvial Silt,CRITICAL_BLOCKED_CULVERT,17799,2019,2,6,3.0,3.3,1575.0,2100,18.7,5.6,78.5,LOW,0,0.0,0.0
EVT-NER-2026-10026,SEG-14,NH-715 Jorhat-Kaziranga Floodway,Assam,26.7084,93.385,169.9,13.8,0.314,Gneiss & Schist,CRITICAL_BLOCKED_CULVERT,9779,2026,7,24,177.8,459.0,1612.5,2150,99.8,137.1,67.8,HIGH,1,41.9,207.7
EVT-NER-2020-10027,SEG-03,NH-6 Sonapur Tunnel & Jaintia Hills,Meghalaya,25.0158,92.2742,823.7,46.6,0.935,Alluvial Silt,POOR_GULLY,8061,2020,9,23,41.8,125.4,2850.0,3800,64.1,62.7,70.9,MEDIUM,1,11.6,29.4
EVT-NER-2022-10028,SEG-12,NH-10 Sevoke-Teesta Valley-Gangtok,Sikkim,27.0757,88.5543,686.5,51.4,0.915,Shale & Siltstone,WELL_DRAINED_BERM,8466,2022,12,27,5.5,7.4,2550.0,3400,19.5,5.8,65.7,MEDIUM,1,12.1,32.9
EVT-NER-2020-10029,SEG-15,Mon-Sonari Foothill Bypass,Nagaland,26.8721,94.9776,605.7,30.2,0.769,Sedimentary Sandstone,WELL_DRAINED_BERM,1799,2020,5,1,21.7,24.9,1650.0,2200,23.0,6.9,52.3,LOW,0,0.0,0.0
EVT-NER-2024-10030,SEG-11,NH-54 Aizawl-Lunglei Ridge Route,Mizoram,23.5505,92.7311,1407.3,35.7,0.952,Limestone Karst,POOR_GULLY,2962,2024,9,9,72.6,151.2,1912.5,2550,65.5,74.5,82.0,MEDIUM,1,8.0,22.1
EVT-NER-2021-10031,SEG-05,NH-13 Bomdila-Sela Pass-Tawang,Arunachal Pradesh,27.6443,92.0895,3764.1,51.2,0.997,Gneiss & Schist,CRITICAL_BLOCKED_CULVERT,1527,2021,6,19,213.1,609.9,1650.0,2200,99.8,149.4,26.5,HIGH,1,49.8,261.7
EVT-NER-2024-10032,SEG-13,North Sikkim Highway Gangtok-Mangan-Chungthang,Sikkim,27.5476,88.6792,1910.7,58.8,0.958,Quartzite,POOR_GULLY,1338,2024,2,3,17.1,28.1,2325.0,3100,23.6,7.1,50.7,MEDIUM,1,11.4,36.5
EVT-NER-2018-10033,SEG-11,NH-54 Aizawl-Lunglei Ridge Route,Mizoram,23.3317,92.8782,1378.9,46.6,0.913,Limestone Karst,CRITICAL_BLOCKED_CULVERT,2800,2018,12,16,10.9,17.3,1912.5,2550,21.5,6.5,80.2,MEDIUM,1,19.5,52.9
EVT-NER-2023-10034,SEG-09,NH-37 Imphal-Jiribam Rainforest Stretch,Manipur,24.7337,93.4352,867.6,44.0,0.917,Sedimentary Sandstone,MODERATE_NATURAL,3262,2023,12,3,8.4,11.7,1725.0,2300,20.3,6.1,46.3,LOW,0,0.0,0.0
EVT-NER-2023-10035,SEG-09,NH-37 Imphal-Jiribam Rainforest Stretch,Manipur,24.914,93.4667,809.2,38.7,0.849,Gneiss & Schist,WELL_DRAINED_BERM,3490,2023,10,23,107.2,285.8,1725.0,2300,86.4,102.3,54.4,HIGH,1,98.9,407.3
EVT-NER-2024-10036,SEG-08,NH-2 Pagla Pahar Subsidence Zone,Nagaland,25.7445,93.872,952.7,46.0,0.959,Sedimentary Sandstone,CRITICAL_BLOCKED_CULVERT,4200,2024,8,22,92.9,264.2,1575.0,2100,84.8,96.1,32.2,HIGH,1,37.6,176.2
EVT-NER-2021-10037,SEG-06,NH-29 Dimapur-Kohima Hill Section,Nagaland,25.8674,94.093,1131.2,36.0,0.796,Gneiss & Schist,CRITICAL_BLOCKED_CULVERT,4354,2021,9,9,66.9,152.1,1462.5,1950,65.7,72.7,57.0,MEDIUM,1,9.5,39.6
EVT-NER-2020-10038,SEG-10,NH-8 Silchar-Agartala Highway,Tripura,24.3118,92.1722,197.3,22.2,0.529,Alluvial Silt,POOR_GULLY,8306,2020,9,4,39.8,124.5,1537.5,2050,58.6,57.9,49.0,MEDIUM,1,5.5,26.0
EVT-NER-2020-10039,SEG-02,NH-6 Guwahati-Shillong Expressway,Meghalaya,25.6256,91.8045,989.5,33.8,0.835,Alluvial Silt,WELL_DRAINED_BERM,13538,2020,10,10,147.5,432.3,2175.0,2900,99.8,126.5,42.8,HIGH,1,78.0,351.4
EVT-NER-2019-10040,SEG-02,NH-6 Guwahati-Shillong Expressway,Meghalaya,25.6633,91.9281,889.3,30.4,0.752,Quartzite,WELL_DRAINED_BERM,10427,2019,2,21,0.1,0.1,2175.0,2900,18.0,5.4,38.9,LOW,0,0.0,0.0
EVT-NER-2025-10041,SEG-10,NH-8 Silchar-Agartala Highway,Tripura,24.2863,92.1875,245.3,29.1,0.568,Sedimentary Sandstone,MODERATE_NATURAL,5908,2025,7,9,133.5,370.8,1537.5,2050,97.0,119.5,35.0,HIGH,1,49.4,265.1
EVT-NER-2025-10042,SEG-10,NH-8 Silchar-Agartala Highway,Tripura,24.1708,92.0817,215.0,22.1,0.596,Quartzite,CRITICAL_BLOCKED_CULVERT,5762,2025,8,23,199.0,573.4,1537.5,2050,99.8,144.5,38.7,HIGH,1,86.8,415.1
EVT-NER-2022-10043,SEG-01,NH-27 Guwahati-Nagaon Corridor,Assam,26.1857,92.1027,50,20.0,0.44,Alluvial Silt,CRITICAL_BLOCKED_CULVERT,14264,2022,7,16,184.7,584.2,1575.0,2100,99.8,139.5,44.3,HIGH,1,28.7,145.3
EVT-NER-2025-10044,SEG-14,NH-715 Jorhat-Kaziranga Floodway,Assam,26.6781,93.261,50,5.5,0.289,Shale & Siltstone,WELL_DRAINED_BERM,9662,2025,9,27,176.8,537.1,1612.5,2150,99.8,136.7,36.3,HIGH,1,54.9,286.6
EVT-NER-2018-10045,SEG-15,Mon-Sonari Foothill Bypass,Nagaland,26.8783,94.9314,614.6,30.7,0.856,Gneiss & Schist,CRITICAL_BLOCKED_CULVERT,1990,2018,10,5,145.7,333.2,1650.0,2200,91.7,119.8,58.1,HIGH,1,27.5,199.0
EVT-NER-2025-10046,SEG-04,NH-13 Bhalukpong-Bomdila Trans-Arunachal,Arunachal Pradesh,27.1562,92.5498,1823.0,47.9,0.896,Alluvial Silt,MODERATE_NATURAL,2820,2025,11,27,12.1,16.7,1800.0,2400,21.3,6.4,80.3,MEDIUM,1,14.2,48.0
EVT-NER-2022-10047,SEG-03,NH-6 Sonapur Tunnel & Jaintia Hills,Meghalaya,25.072,92.4463,786.8,42.0,0.976,Limestone Karst,WELL_DRAINED_BERM,8087,2022,12,14,20.9,30.6,2850.0,3800,24.1,7.2,51.8,MEDIUM,1,13.7,38.8
EVT-NER-2025-10048,SEG-13,North Sikkim Highway Gangtok-Mangan-Chungthang,Sikkim,27.6642,88.5016,1945.7,61.0,0.976,Alluvial Silt,WELL_DRAINED_BERM,1742,2025,12,7,8.0,11.0,2325.0,3100,20.2,6.1,72.5,MEDIUM,1,17.0,43.0
EVT-NER-2020-10049,SEG-02,NH-6 Guwahati-Shillong Expressway,Meghalaya,25.8609,91.9923,960.1,35.4,0.813,Limestone Karst,MODERATE_NATURAL,9337,2020,10,11,167.3,416.9,2175.0,2900,99.8,133.4,71.9,HIGH,1,45.0,239.6
EVT-NER-2019-10050,SEG-13,North Sikkim Highway Gangtok-Mangan-Chungthang,Sikkim,27.6278,88.544,1929.2,59.1,1.0,Shale & Siltstone,MODERATE_NATURAL,1517,2019,12,22,21.8,22.4,2325.0,3100,22.5,6.8,80.3,MEDIUM,1,23.9,66.4
EVT-NER-2019-10051,SEG-14,NH-715 Jorhat-Kaziranga Floodway,Assam,26.4802,93.2999,56.9,5.0,0.322,Alluvial Silt,MODERATE_NATURAL,8916,2019,11,28,1.4,1.8,1612.5,2150,18.4,5.5,49.7,LOW,0,0.0,0.0
EVT-NER-2020-10052,SEG-06,NH-29 Dimapur-Kohima Hill Section,Nagaland,25.7648,94.0049,1124.4,40.2,0.817,Limestone Karst,POOR_GULLY,6504,2020,10,28,151.2,385.8,1462.5,1950,99.8,127.8,52.9,HIGH,1,47.3,243.0
EVT-NER-2025-10053,SEG-03,NH-6 Sonapur Tunnel & Jaintia Hills,Meghalaya,25.1617,92.3373,782.5,53.8,0.892,Gneiss & Schist,WELL_DRAINED_BERM,7190,2025,5,10,9.6,13.3,2850.0,3800,20.7,6.2,59.5,MEDIUM,1,23.9,59.6
EVT-NER-2022-10054,SEG-13,North Sikkim Highway Gangtok-Mangan-Chungthang,Sikkim,27.5936,88.6799,2075.7,59.9,0.947,Gneiss & Schist,CRITICAL_BLOCKED_CULVERT,1546,2022,6,20,182.4,412.7,2325.0,3100,99.8,138.7,68.3,HIGH,1,85.2,407.4
EVT-NER-2018-10055,SEG-04,NH-13 Bhalukpong-Bomdila Trans-Arunachal,Arunachal Pradesh,27.2839,92.4897,1772.5,42.1,0.95,Quartzite,CRITICAL_BLOCKED_CULVERT,3012,2018,9,2,63.4,136.9,1800.0,2400,64.8,70.8,79.8,MEDIUM,1,20.6,52.1
EVT-NER-2022-10056,SEG-16,Haflong-Silchar Hill Track (Dima Hasao),Assam,25.0646,92.9889,895.2,54.5,0.988,Quartzite,CRITICAL_BLOCKED_CULVERT,2858,2022,3,26,18.1,32.3,2100.0,2800,24.5,7.3,48.7,MEDIUM,1,9.3,26.4
EVT-NER-2022-10057,SEG-12,NH-10 Sevoke-Teesta Valley-Gangtok,Sikkim,27.1525,88.4714,704.9,56.2,0.932,Limestone Karst,WELL_DRAINED_BERM,10762,2022,8,4,145.9,405.2,2550.0,3400,99.8,125.9,43.1,HIGH,1,59.6,261.3
EVT-NER-2022-10058,SEG-02,NH-6 Guwahati-Shillong Expressway,Meghalaya,25.6704,91.8913,947.2,33.2,0.892,Quartzite,MODERATE_NATURAL,13422,2022,1,4,17.4,24.9,2175.0,2900,23.0,6.9,64.3,LOW,0,0.0,0.0
EVT-NER-2024-10059,SEG-16,Haflong-Silchar Hill Track (Dima Hasao),Assam,25.2371,92.7652,971.2,44.3,0.908,Limestone Karst,CRITICAL_BLOCKED_CULVERT,2812,2024,3,2,24.5,31.7,2100.0,2800,24.3,7.3,41.6,MEDIUM,1,23.4,68.4
EVT-NER-2019-10060,SEG-15,Mon-Sonari Foothill Bypass,Nagaland,26.6152,94.9001,687.2,40.0,0.733,Quartzite,MODERATE_NATURAL,2215,2019,10,1,187.7,500.2,1650.0,2200,99.8,140.5,39.0,HIGH,1,97.0,448.8
EVT-NER-2022-10061,SEG-01,NH-27 Guwahati-Nagaon Corridor,Assam,26.1921,92.2096,50,18.1,0.391,Quartzite,CRITICAL_BLOCKED_CULVERT,11702,2022,2,5,9.0,14.7,1575.0,2100,20.9,6.3,40.9,LOW,0,0.0,0.0
EVT-NER-2024-10062,SEG-05,NH-13 Bomdila-Sela Pass-Tawang,Arunachal Pradesh,27.4945,92.0586,3848.4,52.3,0.935,Limestone Karst,CRITICAL_BLOCKED_CULVERT,1811,2024,6,16,146.9,422.0,1650.0,2200,99.8,126.3,82.8,HIGH,1,24.2,150.5
EVT-NER-2024-10063,SEG-13,North Sikkim Highway Gangtok-Mangan-Chungthang,Sikkim,27.6429,88.452,1870.2,57.5,0.921,Quartzite,CRITICAL_BLOCKED_CULVERT,1359,2024,9,23,82.3,227.1,2325.0,3100,81.7,90.1,60.8,HIGH,1,48.1,243.2
EVT-NER-2019-10064,SEG-14,NH-715 Jorhat-Kaziranga Floodway,Assam,26.6464,93.5133,119.8,14.1,0.339,Alluvial Silt,WELL_DRAINED_BERM,9674,2019,1,28,22.2,29.5,1612.5,2150,23.9,7.2,30.7,LOW,0,0.0,0.0
EVT-NER-2023-10065,SEG-14,NH-715 Jorhat-Kaziranga Floodway,Assam,26.656,93.3923,50,5.0,0.339,Gneiss & Schist,POOR_GULLY,10426,2023,8,5,171.5,419.7,1612.5,2150,99.1,134.3,58.7,HIGH,1,51.6,229.6
EVT-NER-2024-10066,SEG-12,NH-10 Sevoke-Teesta Valley-Gangtok,Sikkim,27.2405,88.5101,637.9,51.1,0.914,Shale & Siltstone,CRITICAL_BLOCKED_CULVERT,10505,2024,11,2,16.4,19.3,2550.0,3400,21.9,6.6,47.1,MEDIUM,1,19.3,54.1
EVT-NER-2026-10067,SEG-14,NH-715 Jorhat-Kaziranga Floodway,Assam,26.6341,93.4428,50,15.0,0.403,Limestone Karst,CRITICAL_BLOCKED_CULVERT,11903,2026,12,20,6.7,7.7,1612.5,2150,19.5,5.8,46.1,LOW,0,0.0,0.0
EVT-NER-2020-10068,SEG-06,NH-29 Dimapur-Kohima Hill Section,Nagaland,25.6926,93.99,1007.7,42.4,0.814,Sedimentary Sandstone,CRITICAL_BLOCKED_CULVERT,6073,2020,9,3,109.8,264.5,1462.5,1950,84.0,101.4,71.6,HIGH,1,75.9,319.4
EVT-NER-2020-10069,SEG-02,NH-6 Guwahati-Shillong Expressway,Meghalaya,25.8022,91.8116,1015.5,34.8,0.811,Shale & Siltstone,CRITICAL_BLOCKED_CULVERT,11126,2020,10,2,81.9,238.0,2175.0,2900,78.4,87.5,42.0,HIGH,1,87.2,390.4
EVT-NER-2018-10070,SEG-10,NH-8 Silchar-Agartala Highway,Tripura,24.0523,92.0904,132.8,17.9,0.541,Limestone Karst,WELL_DRAINED_BERM,6241,2018,10,2,92.3,185.5,1537.5,2050,66.8,82.4,47.8,MEDIUM,1,18.1,50.5
EVT-NER-2019-10071,SEG-12,NH-10 Sevoke-Teesta Valley-Gangtok,Sikkim,26.9556,88.6063,765.5,51.1,0.972,Shale & Siltstone,WELL_DRAINED_BERM,7203,2019,6,14,164.8,412.2,2550.0,3400,99.8,132.5,44.5,HIGH,1,99.7,447.1
EVT-NER-2019-10072,SEG-12,NH-10 Sevoke-Teesta Valley-Gangtok,Sikkim,27.0807,88.4501,569.7,55.2,0.999,Shale & Siltstone,POOR_GULLY,9245,2019,6,8,72.1,211.6,2550.0,3400,78.9,84.4,36.6,HIGH,1,97.2,418.9
EVT-NER-2021-10073,SEG-05,NH-13 Bomdila-Sela Pass-Tawang,Arunachal Pradesh,27.412,91.9959,3889.8,47.1,1.0,Quartzite,WELL_DRAINED_BERM,1991,2021,8,7,149.3,381.7,1650.0,2200,99.8,127.1,77.9,HIGH,1,83.6,411.7
EVT-NER-2023-10074,SEG-11,NH-54 Aizawl-Lunglei Ridge Route,Mizoram,23.4327,92.6808,1288.7,35.8,0.881,Shale & Siltstone,CRITICAL_BLOCKED_CULVERT,3053,2023,6,16,89.0,226.3,1912.5,2550,76.8,88.8,29.6,HIGH,1,106.2,488.4
EVT-NER-2025-10075,SEG-13,North Sikkim Highway Gangtok-Mangan-Chungthang,Sikkim,27.6427,88.6015,1897.1,57.5,0.99,Sedimentary Sandstone,POOR_GULLY,1437,2025,6,15,212.0,538.6,2325.0,3100,99.8,149.0,35.4,HIGH,1,43.3,220.2
EVT-NER-2026-10076,SEG-15,Mon-Sonari Foothill Bypass,Nagaland,26.7119,94.8849,542.2,33.7,0.796,Shale & Siltstone,CRITICAL_BLOCKED_CULVERT,1600,2026,7,12,180.0,499.8,1650.0,2200,99.8,137.8,65.7,HIGH,1,47.0,254.3
EVT-NER-2023-10077,SEG-05,NH-13 Bomdila-Sela Pass-Tawang,Arunachal Pradesh,27.4531,92.1468,3865.5,47.8,1.0,Limestone Karst,CRITICAL_BLOCKED_CULVERT,2098,2023,7,12,46.1,123.1,1650.0,2200,64.0,64.1,65.2,HIGH,1,102.6,466.6
EVT-NER-2024-10078,SEG-03,NH-6 Sonapur Tunnel & Jaintia Hills,Meghalaya,25.0627,92.4954,805.4,52.7,0.891,Sedimentary Sandstone,POOR_GULLY,6993,2024,6,12,220.0,480.9,2850.0,3800,99.8,151.8,57.4,HIGH,1,93.3,416.4
EVT-NER-2020-10079,SEG-11,NH-54 Aizawl-Lunglei Ridge Route,Mizoram,23.3543,92.7979,1376.2,47.6,0.915,Limestone Karst,MODERATE_NATURAL,3214,2020,7,6,38.3,93.3,1912.5,2550,59.5,58.0,61.6,MEDIUM,1,19.0,56.7
EVT-NER-2026-10080,SEG-08,NH-2 Pagla Pahar Subsidence Zone,Nagaland,25.6282,93.9335,962.6,46.2,0.963,Alluvial Silt,MODERATE_NATURAL,5370,2026,9,27,177.8,462.9,1575.0,2100,99.8,137.1,73.1,HIGH,1,32.1,164.5
EVT-NER-2023-10081,SEG-16,Haflong-Silchar Hill Track (Dima Hasao),Assam,25.2838,92.9553,931.3,51.7,0.894,Alluvial Silt,POOR_GULLY,4168,2023,6,23,202.0,439.7,2100.0,2800,99.8,145.5,38.3,HIGH,1,64.0,292.7
EVT-NER-2024-10082,SEG-01,NH-27 Guwahati-Nagaon Corridor,Assam,26.1007,92.2684,68.7,6.4,0.519,Gneiss & Schist,MODERATE_NATURAL,11849,2024,10,12,189.4,526.5,1575.0,2100,99.8,141.1,80.0,HIGH,1,66.2,334.7
EVT-NER-2025-10083,SEG-16,Haflong-Silchar Hill Track (Dima Hasao),Assam,25.1068,92.9505,997.2,51.2,0.934,Sedimentary Sandstone,POOR_GULLY,2793,2025,6,1,51.1,119.9,2100.0,2800,64.2,66.0,50.2,HIGH,1,99.0,433.2
EVT-NER-2025-10084,SEG-04,NH-13 Bhalukpong-Bomdila Trans-Arunachal,Arunachal Pradesh,27.2646,92.3426,1785.9,44.0,0.928,Limestone Karst,POOR_GULLY,3003,2025,6,21,75.7,189.2,1800.0,2400,73.1,81.3,46.6,HIGH,1,115.2,500.8
EVT-NER-2024-10085,SEG-01,NH-27 Guwahati-Nagaon Corridor,Assam,26.1461,92.082,161.8,11.0,0.381,Shale & Siltstone,CRITICAL_BLOCKED_CULVERT,12470,2024,1,21,6.0,9.2,1575.0,2100,19.8,5.9,46.1,LOW,0,0.0,0.0
EVT-NER-2020-10086,SEG-11,NH-54 Aizawl-Lunglei Ridge Route,Mizoram,23.5942,92.7336,1265.6,36.9,0.915,Gneiss & Schist,POOR_GULLY,3005,2020,11,15,23.6,24.3,1912.5,2550,22.9,6.9,78.1,LOW,0,0.0,0.0
EVT-NER-2022-10087,SEG-11,NH-54 Aizawl-Lunglei Ridge Route,Mizoram,23.376,92.816,1267.8,40.0,0.925,Shale & Siltstone,CRITICAL_BLOCKED_CULVERT,2591,2022,10,16,194.5,466.5,1912.5,2550,99.8,142.9,49.0,HIGH,1,62.9,331.0
EVT-NER-2020-10088,SEG-11,NH-54 Aizawl-Lunglei Ridge Route,Mizoram,23.5773,92.7458,1420.3,45.2,0.813,Quartzite,CRITICAL_BLOCKED_CULVERT,2455,2020,9,12,144.5,431.6,1912.5,2550,99.8,125.4,29.8,HIGH,1,85.4,371.0
EVT-NER-2020-10089,SEG-14,NH-715 Jorhat-Kaziranga Floodway,Assam,26.4627,93.511,70.1,16.0,0.314,Shale & Siltstone,WELL_DRAINED_BERM,9442,2020,8,15,216.2,678.3,1612.5,2150,99.8,150.5,73.1,HIGH,1,87.3,423.4
EVT-NER-2025-10090,SEG-05,NH-13 Bomdila-Sela Pass-Tawang,Arunachal Pradesh,27.5936,92.0599,3795.7,53.9,0.997,Sedimentary Sandstone,WELL_DRAINED_BERM,2058,2025,6,8,159.0,499.0,1650.0,2200,99.8,130.5,59.4,HIGH,1,72.0,326.5
EVT-NER-2021-10091,SEG-09,NH-37 Imphal-Jiribam Rainforest Stretch,Manipur,24.7058,93.4553,908.4,37.6,0.934,Quartzite,CRITICAL_BLOCKED_CULVERT,3559,2021,1,24,17.6,20.6,1725.0,2300,22.1,6.6,84.9,LOW,0,0.0,0.0
