record_id,district_id,district_name,state,latitude,longitude,year,month,monthly_normal_mm,actual_rainfall_mm,deviation_pct,max_24h_rainfall_mm,cloudburst_events_count,monsoon_intensity_tier,mean_temp_c,humidity_pct,soil_saturation_index
MET-AS-KAM-2016-08,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,8,400.4,474.7,18.6,201.8,0,SEVERE_MONSOON_BURST,26.2,99.0,0.775
MET-AS-KAM-2016-09,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,9,254.8,359.9,41.2,147.0,0,HEAVY_MONSOON,26.3,93.7,0.924
MET-AS-KAM-2016-10,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,10,109.2,118.2,8.2,49.9,0,MODERATE_SHOWERS,25.8,75.2,0.708
MET-AS-KAM-2016-11,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,11,27.3,25.8,-5.5,17.1,0,DRY_PERIOD,27.9,61.3,0.439
MET-AS-KAM-2016-12,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2016,12,27.3,53.1,94.5,37.0,0,DRY_PERIOD,23.8,73.7,0.903
MET-AS-KAM-2017-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,1,27.3,34.7,27.1,26.7,0,DRY_PERIOD,24.5,59.0,0.59
MET-AS-KAM-2017-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,2,27.3,36.9,35.2,28.5,0,DRY_PERIOD,23.2,58.5,0.627
MET-AS-KAM-2017-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,3,27.3,18.0,-34.1,13.3,0,DRY_PERIOD,27.5,61.9,0.306
MET-AS-KAM-2017-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,4,109.2,108.9,-0.3,81.4,0,MODERATE_SHOWERS,27.6,74.9,0.652
MET-AS-KAM-2017-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,5,254.8,371.2,45.7,163.4,0,SEVERE_MONSOON_BURST,26.3,96.6,0.953
MET-AS-KAM-2017-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,6,400.4,314.6,-21.4,88.2,0,HEAVY_MONSOON,28.9,81.0,0.514
MET-AS-KAM-2017-07,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,7,400.4,336.7,-15.9,99.3,0,HEAVY_MONSOON,28.7,84.5,0.55
MET-AS-KAM-2017-08,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,8,400.4,568.6,42.0,193.3,0,SEVERE_MONSOON_BURST,25.6,99.0,0.929
MET-AS-KAM-2017-09,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,9,254.8,365.7,43.5,99.2,0,HEAVY_MONSOON,28.7,95.3,0.938
MET-AS-KAM-2017-10,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,10,109.2,138.7,27.0,30.4,0,MODERATE_SHOWERS,25.6,67.1,0.83
MET-AS-KAM-2017-11,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,11,27.3,21.9,-19.8,16.2,0,DRY_PERIOD,27.8,60.8,0.372
MET-AS-KAM-2017-12,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2017,12,27.3,19.5,-28.6,14.1,0,DRY_PERIOD,24.6,61.1,0.332
MET-AS-KAM-2018-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,1,27.3,45.2,65.6,33.4,0,DRY_PERIOD,22.1,62.0,0.768
MET-AS-KAM-2018-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,2,27.3,47.9,75.5,36.9,0,DRY_PERIOD,23.6,73.3,0.814
MET-AS-KAM-2018-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,3,27.3,44.8,64.1,35.5,0,DRY_PERIOD,28.8,67.8,0.762
MET-AS-KAM-2018-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,4,109.2,131.0,20.0,87.0,0,MODERATE_SHOWERS,28.3,77.5,0.784
MET-AS-KAM-2018-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,5,254.8,259.8,2.0,93.7,0,HEAVY_MONSOON,27.1,78.6,0.667
MET-AS-KAM-2018-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,6,400.4,296.8,-25.9,70.7,0,HEAVY_MONSOON,27.3,89.0,0.485
MET-AS-KAM-2018-07,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,7,400.4,264.5,-33.9,85.4,0,HEAVY_MONSOON,26.9,81.2,0.432
MET-AS-KAM-2018-08,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,8,400.4,314.0,-21.6,126.9,1,HEAVY_MONSOON,25.5,92.6,0.513
MET-AS-KAM-2018-09,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,9,254.8,203.9,-20.0,64.6,0,MODERATE_SHOWERS,28.4,83.1,0.523
MET-AS-KAM-2018-10,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,10,109.2,158.4,45.1,45.1,0,MODERATE_SHOWERS,26.3,75.5,0.948
MET-AS-KAM-2018-11,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,11,27.3,40.8,49.5,22.4,0,DRY_PERIOD,28.7,61.5,0.694
MET-AS-KAM-2018-12,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2018,12,27.3,48.2,76.6,33.2,0,DRY_PERIOD,24.6,65.2,0.819
MET-AS-KAM-2019-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,1,27.3,51.1,87.2,22.8,0,DRY_PERIOD,22.3,72.7,0.869
MET-AS-KAM-2019-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,2,27.3,29.2,7.0,13.3,0,DRY_PERIOD,23.9,62.6,0.496
MET-AS-KAM-2019-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,3,27.3,20.0,-26.7,12.4,0,DRY_PERIOD,27.8,64.2,0.34
MET-AS-KAM-2019-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,4,109.2,116.6,6.8,85.0,0,MODERATE_SHOWERS,25.6,76.4,0.698
MET-AS-KAM-2019-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,5,254.8,223.4,-12.3,82.7,0,MODERATE_SHOWERS,26.8,75.2,0.573
MET-AS-KAM-2019-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,6,400.4,510.7,27.5,205.7,0,SEVERE_MONSOON_BURST,25.8,99.0,0.834
MET-AS-KAM-2019-07,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,7,400.4,293.6,-26.7,87.6,0,HEAVY_MONSOON,25.7,89.7,0.479
MET-AS-KAM-2019-08,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,8,400.4,408.1,1.9,155.8,1,SEVERE_MONSOON_BURST,29.0,89.0,0.666
MET-AS-KAM-2019-09,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,9,254.8,356.9,40.1,147.7,0,HEAVY_MONSOON,27.0,91.5,0.916
MET-AS-KAM-2019-10,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,10,109.2,159.7,46.2,37.3,0,MODERATE_SHOWERS,28.0,68.0,0.956
MET-AS-KAM-2019-11,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,11,27.3,50.9,86.4,34.2,0,DRY_PERIOD,28.8,65.1,0.865
MET-AS-KAM-2019-12,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2019,12,27.3,25.4,-7.0,15.8,0,DRY_PERIOD,22.5,68.1,0.432
MET-AS-KAM-2020-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,1,27.3,24.5,-10.3,11.9,0,DRY_PERIOD,23.1,65.7,0.416
MET-AS-KAM-2020-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,2,27.3,20.9,-23.4,14.3,0,DRY_PERIOD,22.2,60.7,0.355
MET-AS-KAM-2020-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,3,27.3,32.0,17.2,24.0,0,DRY_PERIOD,27.7,68.0,0.544
MET-AS-KAM-2020-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,4,109.2,118.7,8.7,73.8,0,MODERATE_SHOWERS,28.9,77.2,0.711
MET-AS-KAM-2020-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,5,254.8,330.1,29.6,78.2,0,HEAVY_MONSOON,26.7,86.8,0.847
MET-AS-KAM-2020-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,6,400.4,312.8,-21.9,116.8,0,HEAVY_MONSOON,26.1,80.5,0.511
MET-AS-KAM-2020-07,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,7,400.4,487.2,21.7,104.4,0,HEAVY_MONSOON,26.2,99.0,0.796
MET-AS-KAM-2020-08,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,8,400.4,477.5,19.3,97.6,0,HEAVY_MONSOON,26.4,99.0,0.78
MET-AS-KAM-2020-09,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,9,254.8,319.3,25.3,61.7,0,HEAVY_MONSOON,28.0,86.6,0.819
MET-AS-KAM-2020-10,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,10,109.2,125.7,15.1,47.3,0,MODERATE_SHOWERS,28.4,67.9,0.753
MET-AS-KAM-2020-11,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,11,27.3,34.8,27.5,26.5,0,DRY_PERIOD,25.1,57.8,0.592
MET-AS-KAM-2020-12,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2020,12,27.3,39.8,45.8,27.3,0,DRY_PERIOD,23.5,69.9,0.677
MET-AS-KAM-2021-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,1,27.3,12.7,-53.5,6.1,0,DRY_PERIOD,21.6,57.3,0.216
MET-AS-KAM-2021-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,2,27.3,31.2,14.3,17.8,0,DRY_PERIOD,23.6,61.9,0.53
MET-AS-KAM-2021-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,3,27.3,40.6,48.7,18.5,0,DRY_PERIOD,28.8,70.8,0.69
MET-AS-KAM-2021-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,4,109.2,139.4,27.7,69.5,0,MODERATE_SHOWERS,26.4,77.4,0.835
MET-AS-KAM-2021-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,5,254.8,310.4,21.8,138.8,0,HEAVY_MONSOON,28.7,89.3,0.797
MET-AS-KAM-2021-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,6,400.4,465.5,16.3,205.6,0,SEVERE_MONSOON_BURST,27.1,92.7,0.76
MET-AS-KAM-2021-07,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,7,400.4,478.6,19.5,162.5,0,SEVERE_MONSOON_BURST,27.1,94.3,0.782
MET-AS-KAM-2021-08,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,8,400.4,333.9,-16.6,77.7,0,HEAVY_MONSOON,27.6,94.9,0.545
MET-AS-KAM-2021-09,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,9,254.8,325.5,27.7,96.8,0,HEAVY_MONSOON,27.2,93.2,0.835
MET-AS-KAM-2021-10,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,10,109.2,141.2,29.3,46.0,0,MODERATE_SHOWERS,27.7,72.3,0.845
MET-AS-KAM-2021-11,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,11,27.3,12.2,-55.3,7.3,0,DRY_PERIOD,25.6,68.6,0.207
MET-AS-KAM-2021-12,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2021,12,27.3,55.4,102.9,34.5,0,DRY_PERIOD,22.4,66.2,0.942
MET-AS-KAM-2022-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,1,27.3,29.0,6.2,21.4,0,DRY_PERIOD,23.7,67.6,0.493
MET-AS-KAM-2022-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,2,27.3,20.2,-26.0,11.6,0,DRY_PERIOD,24.5,59.4,0.343
MET-AS-KAM-2022-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,3,27.3,26.1,-4.4,19.4,0,DRY_PERIOD,28.0,66.2,0.444
MET-AS-KAM-2022-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,4,109.2,125.5,14.9,68.2,0,MODERATE_SHOWERS,28.1,69.4,0.751
MET-AS-KAM-2022-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,5,254.8,161.2,-36.7,32.2,0,MODERATE_SHOWERS,28.4,69.8,0.414
MET-AS-KAM-2022-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,6,400.4,537.9,34.3,231.3,1,SEVERE_MONSOON_BURST,27.6,99.0,0.878
MET-AS-KAM-2022-07,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,7,400.4,496.7,24.1,95.0,0,HEAVY_MONSOON,27.0,99.0,0.811
MET-AS-KAM-2022-08,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,8,400.4,508.3,26.9,118.3,0,SEVERE_MONSOON_BURST,25.5,99.0,0.83
MET-AS-KAM-2022-09,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,9,254.8,311.8,22.4,129.6,0,HEAVY_MONSOON,28.6,83.2,0.8
MET-AS-KAM-2022-10,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,10,109.2,95.6,-12.5,32.2,0,MODERATE_SHOWERS,27.5,68.9,0.572
MET-AS-KAM-2022-11,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,11,27.3,29.5,8.1,20.5,0,DRY_PERIOD,26.2,71.2,0.501
MET-AS-KAM-2022-12,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2022,12,27.3,43.7,60.1,21.5,0,DRY_PERIOD,21.5,61.3,0.743
MET-AS-KAM-2023-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,1,27.3,47.0,72.2,31.1,0,DRY_PERIOD,24.5,72.2,0.799
MET-AS-KAM-2023-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,2,27.3,41.1,50.5,28.0,0,DRY_PERIOD,22.5,63.9,0.699
MET-AS-KAM-2023-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,3,27.3,55.0,101.5,42.0,0,DRY_PERIOD,25.5,60.8,0.935
MET-AS-KAM-2023-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,4,109.2,123.7,13.3,60.0,0,MODERATE_SHOWERS,27.4,70.3,0.741
MET-AS-KAM-2023-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,5,254.8,294.3,15.5,103.3,0,HEAVY_MONSOON,28.8,92.1,0.755
MET-AS-KAM-2023-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,6,400.4,446.5,11.5,173.7,0,SEVERE_MONSOON_BURST,25.3,92.8,0.729
MET-AS-KAM-2023-07,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,7,400.4,465.4,16.2,166.4,1,SEVERE_MONSOON_BURST,26.9,97.8,0.76
MET-AS-KAM-2023-08,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,8,400.4,596.6,49.0,119.4,0,SEVERE_MONSOON_BURST,27.8,99.0,0.974
MET-AS-KAM-2023-09,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,9,254.8,300.4,17.9,95.0,0,HEAVY_MONSOON,28.2,87.3,0.771
MET-AS-KAM-2023-10,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,10,109.2,122.5,12.2,47.2,0,MODERATE_SHOWERS,28.8,67.3,0.733
MET-AS-KAM-2023-11,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,11,27.3,48.3,76.9,38.6,0,DRY_PERIOD,26.4,66.5,0.821
MET-AS-KAM-2023-12,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2023,12,27.3,29.8,9.2,22.3,0,DRY_PERIOD,24.2,57.6,0.507
MET-AS-KAM-2024-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,1,27.3,27.4,0.4,18.6,0,DRY_PERIOD,24.1,58.7,0.466
MET-AS-KAM-2024-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,2,27.3,54.0,97.8,41.5,0,DRY_PERIOD,23.7,71.5,0.918
MET-AS-KAM-2024-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,3,27.3,33.9,24.2,17.6,0,DRY_PERIOD,25.3,62.4,0.576
MET-AS-KAM-2024-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,4,109.2,122.5,12.2,66.7,0,MODERATE_SHOWERS,25.3,68.2,0.733
MET-AS-KAM-2024-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,5,254.8,347.5,36.4,141.8,1,HEAVY_MONSOON,26.4,94.5,0.892
MET-AS-KAM-2024-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,6,400.4,567.3,41.7,231.0,0,SEVERE_MONSOON_BURST,28.7,99.0,0.926
MET-AS-KAM-2024-07,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,7,400.4,585.3,46.2,201.9,0,SEVERE_MONSOON_BURST,28.1,99.0,0.956
MET-AS-KAM-2024-08,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,8,400.4,341.9,-14.6,97.4,0,HEAVY_MONSOON,25.2,88.7,0.558
MET-AS-KAM-2024-09,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,9,254.8,269.8,5.9,106.9,0,HEAVY_MONSOON,27.5,77.8,0.692
MET-AS-KAM-2024-10,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,10,109.2,116.2,6.4,22.1,0,MODERATE_SHOWERS,27.9,68.6,0.696
MET-AS-KAM-2024-11,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,11,27.3,50.8,86.1,37.8,0,DRY_PERIOD,26.0,63.4,0.864
MET-AS-KAM-2024-12,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2024,12,27.3,43.6,59.7,22.3,0,DRY_PERIOD,22.8,65.2,0.741
MET-AS-KAM-2025-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,1,27.3,35.6,30.4,15.9,0,DRY_PERIOD,23.7,71.9,0.605
MET-AS-KAM-2025-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,2,27.3,39.2,43.6,23.3,0,DRY_PERIOD,23.2,59.5,0.666
MET-AS-KAM-2025-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,3,27.3,15.5,-43.2,9.7,0,DRY_PERIOD,27.7,60.8,0.264
MET-AS-KAM-2025-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,4,109.2,134.2,22.9,82.0,0,MODERATE_SHOWERS,28.4,80.7,0.804
MET-AS-KAM-2025-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,5,254.8,290.8,14.1,129.4,0,HEAVY_MONSOON,26.9,85.6,0.746
MET-AS-KAM-2025-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,6,400.4,505.6,26.3,119.1,0,SEVERE_MONSOON_BURST,25.2,99.0,0.826
MET-AS-KAM-2025-07,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,7,400.4,283.5,-29.2,62.2,0,HEAVY_MONSOON,28.7,89.0,0.463
MET-AS-KAM-2025-08,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,8,400.4,505.6,26.3,105.7,0,SEVERE_MONSOON_BURST,26.5,99.0,0.826
MET-AS-KAM-2025-09,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,9,254.8,204.8,-19.6,50.7,0,MODERATE_SHOWERS,28.7,72.6,0.526
MET-AS-KAM-2025-10,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,10,109.2,112.8,3.3,34.7,0,MODERATE_SHOWERS,26.4,74.1,0.675
MET-AS-KAM-2025-11,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,11,27.3,28.4,4.0,21.2,0,DRY_PERIOD,25.8,67.1,0.483
MET-AS-KAM-2025-12,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2025,12,27.3,45.7,67.4,36.1,0,DRY_PERIOD,22.3,68.6,0.777
MET-AS-KAM-2026-01,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2026,1,27.3,49.8,82.4,33.4,0,DRY_PERIOD,22.0,71.3,0.847
MET-AS-KAM-2026-02,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2026,2,27.3,23.4,-14.3,10.6,0,DRY_PERIOD,24.3,64.8,0.398
MET-AS-KAM-2026-03,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2026,3,27.3,33.3,22.0,20.1,0,DRY_PERIOD,25.8,62.9,0.566
MET-AS-KAM-2026-04,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2026,4,109.2,110.0,0.7,80.1,0,MODERATE_SHOWERS,27.9,65.1,0.659
MET-AS-KAM-2026-05,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2026,5,254.8,256.2,0.5,67.1,0,HEAVY_MONSOON,25.2,80.3,0.657
MET-AS-KAM-2026-06,AS-KAM,Kamrup Metropolitan (Guwahati),Assam,26.14,91.73,2026,6,400.4,299.4,-25.2,133.9,0,HEAVY_MONSOON,26.0,80.6,0.489
